DATE,VXAPLCLS
2012-01-03,33.29
2012-01-04,31.09
2012-01-05,30.55
2012-01-06,30.07
2012-01-09,32.05
2012-01-10,31.47
2012-01-11,31.48
2012-01-12,32.64
2012-01-13,32.61
2012-01-16,.
2012-01-17,33.88
2012-01-18,32.70
2012-01-19,32.45
2012-01-20,33.56
2012-01-23,33.49
2012-01-24,33.16
2012-01-25,22.18
2012-01-26,21.48
2012-01-27,21.24
2012-01-30,21.52
2012-01-31,21.14
2012-02-01,20.75
2012-02-02,19.67
2012-02-03,19.55
2012-02-06,20.00
2012-02-07,22.63
2012-02-08,24.70
2012-02-09,27.31
2012-02-10,29.09
2012-02-13,30.82
2012-02-14,31.52
2012-02-15,32.93
2012-02-16,32.62
2012-02-17,33.43
2012-02-20,.
2012-02-21,32.77
2012-02-22,32.78
2012-02-23,30.34
2012-02-24,28.76
2012-02-27,29.69
2012-02-28,30.96
2012-02-29,34.60
2012-03-01,34.24
2012-03-02,32.47
2012-03-05,33.81
2012-03-06,34.40
2012-03-07,32.91
2012-03-08,30.08
2012-03-09,29.44
2012-03-12,28.99
2012-03-13,28.31
2012-03-14,37.24
2012-03-15,42.06
2012-03-16,40.73
2012-03-19,38.90
2012-03-20,36.89
2012-03-21,33.60
2012-03-22,32.98
2012-03-23,32.39
2012-03-26,31.89
2012-03-27,32.30
2012-03-28,34.07
2012-03-29,34.69
2012-03-30,35.46
2012-04-02,34.14
2012-04-03,34.37
2012-04-04,35.01
2012-04-05,36.41
2012-04-06,.
2012-04-09,40.13
2012-04-10,42.84
2012-04-11,43.98
2012-04-12,42.72
2012-04-13,44.82
2012-04-16,48.77
2012-04-17,46.78
2012-04-18,45.95
2012-04-19,48.11
2012-04-20,47.87
2012-04-23,46.60
2012-04-24,42.17
2012-04-25,33.65
2012-04-26,32.58
2012-04-27,32.31
2012-04-30,34.04
2012-05-01,32.00
2012-05-02,31.17
2012-05-03,30.74
2012-05-04,31.97
2012-05-07,32.81
2012-05-08,33.66
2012-05-09,33.29
2012-05-10,31.49
2012-05-11,30.40
2012-05-14,32.22
2012-05-15,32.32
2012-05-16,34.37
2012-05-17,37.29
2012-05-18,35.92
2012-05-21,32.72
2012-05-22,33.03
2012-05-23,33.83
2012-05-24,33.51
2012-05-25,33.28
2012-05-28,.
2012-05-29,32.30
2012-05-30,32.86
2012-05-31,32.84
2012-06-01,37.14
2012-06-04,37.99
2012-06-05,35.69
2012-06-06,32.16
2012-06-07,30.99
2012-06-08,29.09
2012-06-11,27.52
2012-06-12,25.37
2012-06-13,27.05
2012-06-14,27.70
2012-06-15,27.17
2012-06-18,26.83
2012-06-19,27.04
2012-06-20,26.31
2012-06-21,27.24
2012-06-22,26.31
2012-06-25,29.48
2012-06-26,29.37
2012-06-27,28.71
2012-06-28,28.66
2012-06-29,27.59
2012-07-02,29.08
2012-07-03,29.24
2012-07-04,.
2012-07-05,29.90
2012-07-06,31.04
2012-07-09,32.11
2012-07-10,35.06
2012-07-11,35.45
2012-07-12,35.14
2012-07-13,34.70
2012-07-16,35.14
2012-07-17,34.30
